name,rating,category,address,phone,website,email,linkedin
Results,,Cafe,"
87-135 Brompton Rd, London SW1X 7XL, United Kingdom","
+44 20 7730 1234",https://www.harrods.com/c/restaurants/harrods-cafe?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing-harrods-cafe,,
Results,,Cafe,"
87-135 Brompton Rd, London SW1X 7XL, United Kingdom","
+44 20 7730 1234",https://www.harrods.com/c/restaurants/harrods-cafe?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing-harrods-cafe,,
Results,,Brasserie,"
45 Jermyn St, London SW1Y 6DN, United Kingdom","
+44 20 7205 4545",https://45jermynst.com/,,
Results,,Brasserie,"
45 Jermyn St, London SW1Y 6DN, United Kingdom","
+44 20 7205 4545",https://45jermynst.com/,,
Results,,Cafe,"
383 Kennington Ln, London SE11 5QY, United Kingdom","
+44 20 7735 5853",https://cafekenningtonlane.co.uk/,,
Results,,Cafe,"
383 Kennington Ln, London SE11 5QY, United Kingdom","
+44 20 7735 5853",https://cafekenningtonlane.co.uk/,,
Results,,Cafe,"
17-19 Regency St, London SW1P 4BY, United Kingdom","
+44 20 7821 6596",,,
Results,,Cafe,"
17-19 Regency St, London SW1P 4BY, United Kingdom","
+44 20 7821 6596",,,
Results,,Brunch restaurant,"
188-189 Drury Ln, London WC2B 5QD, United Kingdom","
+44 20 7831 7555",http://www.drury188189.co.uk/,,
Results,,Brunch restaurant,"
188-189 Drury Ln, London WC2B 5QD, United Kingdom","
+44 20 7831 7555",http://www.drury188189.co.uk/,,
