osm_type,osm_id,name,website,phone,address,emails_found
node,42489331,Ukrainian Way,,,,
node,42970021,Pleasant Plains,,,,
node,79108161,Passaic,,,,
node,103716200,Newark Liberty Airport,,,,
node,103743817,Upper Montclair,,,,
node,158800633,Montclair,,,,
node,158807148,Bellaire,,,,
node,158810597,Fairview,,,,
node,158811633,Passaic,https://www.cityofpassaic.com/,,,
node,158814058,Montclair Heights,,,,
node,158826478,Saint Albans,,,,
node,158826905,Tremley Point,,,,
node,158843013,Passaic Junction,,,,
node,158845041,Tremley,,,,
node,158845118,Saint George,,,,
node,276092543,Flushing–Main Street,,,,
node,280572143,Steinway Auto Repairs,,+1-718-545-6129,"23-05, Steinway Street",
node,293829388,Saint Francis Church,https://stfrancishoboken.net/,+1-201-659-1772,"308, Jefferson Street, Hoboken, 07030",stfrancis308@gmail.com
node,296568074,The Brass Rail,,,,
node,299292383,Mountain Station,,,,
node,299636598,Mountain Avenue,,,,
node,357544577,All Saints High School,,,,
node,357557918,Edison Tech School,,,,
node,357572577,Mount Saint Michael Academy,,,,
node,357574570,Saint John's University Staten Island Campus,,,,
node,357583477,Saint Adalbert Catholic Academy,https://saintadalbertca.org,,"52-17, 83rd Street, Elmhurst, 11373",605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com;ed436f5053144538958ad06a5005e99a@sentry.wixpress.com;271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com;2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com
node,357583594,Saint Aloysius School,,,,
node,357583736,Saint Anns School,,,,
node,357583758,Saint Anslems School,,,,
node,357583911,Saint Barnabas High School,https://www.stbarnabashigh.com/,+1-718-325-8800,"425, East 240th Street, Bronx, 10470",
node,357583939,Saint Benedict School,,,"1016, Edison Avenue, 10465",
node,357584000,Saint Boniface School,,,,
node,357584102,Saint Cecilia School,,,,
node,357584169,Saint Clares School,,,,
